67 49 18
39 61 1
9 17 2
18 19 34
21 24 7
6 42 70
7 36 5
40 18 14
7 8 34
37 4 15
35 15 9
40 44 20
20 67 1
19 64 1
12 33 2
52 41 44
0 68 13
42 63 4
17 13 3
47 52 5
20 63 1
1 67 1
37 64 1
24 40 2
59 7 1
34 19 1
2 18 1
17 34 13
40 22 6
37 55 1
44 29 5
30 18 12
51 4 2
65 19 1
63 66 13
14 35 7
26 65 3
2 68 7
46 35 7
62 41 20
29 19 7
35 29 7
4 37 13
23 6 5
0 9 12
25 34 1
29 2 3
17 41 2
50 10 1
55 3 2
40 53 4
52 13 13
66 7 9
47 30 1
29 15 13
8 7 23
61 3 1
38 25 4
8 39 6
2 52 41
24 50 4
67 0 20
58 33 1
31 2 1
24 52 12
3 45 1
42 31 1
20 2 1
10 40 1
46 25 12
34 6 49
38 7 2
31 6 9
64 5 1
24 26 3
49 67 4
44 14 2
56 39 1
49 12 1
60 2 4
45 46 11
63 43 6
46 2 3
51 38 2
24 17 9
60 6 22
23 9 1
27 6 5
20 21 7
10 34 22
30 23 4
67 46 12
23 30 2
33 32 28
58 35 1
9 4 5
27 2 2
60 7 1
44 11 2
53 11 1
13 2 7
20 24 5
66 16 3
52 23 3
64 19 4
66 62 15
45 51 1
39 13 1
68 49 10
11 53 2
7 1 16
0 0 366
51 0 7
42 32 4
44 1 3
0 17 21
0 35 12
34 12 6
24 12 2
4 52 18
7 11 8
63 26 3
11 2 21
52 59 161
17 20 14
36 52 17
34 31 2
62 49 19
7 35 6
66 2 19
42 52 19
36 43 14
51 14 1
8 47 5
37 41 27
31 14 1
58 22 1
31 43 2
7 43 14
66 11 4
66 6 56
3 55 2
6 30 47
14 43 2
64 41 26
16 27 4
4 5 10
20 18 27
66 1 12
33 55 5
27 0 1
29 34 2
20 17 16
56 66 2
14 15 2
25 28 4
23 0 2
37 36 15
55 15 4
7 46 7
47 34 1
43 30 8
0 3 34
32 41 15
22 21 6
60 65 24
18 26 1
61 42 1
44 6 26
62 34 1
8 55 30
38 18 1
24 11 3
66 46 14
63 30 1
45 30 4
42 61 3
39 59 1
16 21 9
10 45 1
18 52 11
40 65 7
6 54 30
14 1 6
